loan_id,orig_upb,credit_score,ltv,dti,state,loan_purpose,property_type,vintage
139435503,282000.0,764.0,89,45,FL,P,SF,122024
139435504,176000.0,768.0,80,29,NC,P,PU,12025
139435505,140000.0,686.0,78,46,WI,R,SF,112024
139435506,80000.0,803.0,80,16,WI,P,SF,12025
139435507,803000.0,809.0,67,15,AZ,P,PU,122024
139435508,314000.0,775.0,70,41,IN,P,PU,12025
139435509,340000.0,807.0,54,10,FL,P,PU,122024
139435510,508000.0,721.0,95,35,AK,P,SF,122024
139435511,489000.0,770.0,85,47,NC,P,SF,122024
139435512,495000.0,779.0,80,46,CA,P,PU,122024
139435513,285000.0,814.0,43,15,CT,P,SF,122024
139435514,243000.0,750.0,76,47,IL,R,PU,112024
139435515,600000.0,801.0,38,20,CO,P,SF,122024
139435516,150000.0,746.0,80,42,OH,P,SF,112024
139435517,200000.0,681.0,65,40,TX,P,PU,112024
139435518,195000.0,754.0,95,31,TN,P,SF,112024
139435519,944000.0,773.0,75,49,CA,P,CO,122024
139435520,548000.0,684.0,90,43,AZ,P,PU,112024
139435521,230000.0,749.0,80,22,TX,P,SF,122024
139435522,162000.0,773.0,97,47,OH,P,SF,122024
139435523,276000.0,725.0,80,50,MS,P,SF,122024
139435524,766000.0,680.0,59,50,GA,R,SF,122024
139435525,795000.0,761.0,79,40,VA,P,SF,112024
139435526,481000.0,797.0,80,47,NY,P,SF,112024
139435527,140000.0,787.0,94,27,NC,P,CO,112024
139435528,199000.0,788.0,37,17,TX,P,SF,122024
139435529,254000.0,770.0,80,49,CA,P,CO,122024
139435530,66000.0,811.0,25,22,AR,P,PU,112024
139435531,292000.0,682.0,95,32,AR,P,SF,112024
139435532,277000.0,816.0,75,48,GA,P,SF,122024
139435533,366000.0,788.0,80,26,FL,P,PU,112024
139435534,271000.0,807.0,83,47,KY,P,PU,12025
139435535,218000.0,741.0,97,50,TX,P,SF,122024
139435536,292000.0,656.0,69,45,MN,P,SF,12025
139435537,747000.0,799.0,90,49,NJ,P,SF,12025
139435538,420000.0,705.0,80,50,WI,P,SF,122024
139435539,181000.0,734.0,95,50,NY,P,SF,12025
139435540,356000.0,631.0,60,50,ID,P,PU,122024
139435541,500000.0,789.0,80,30,DE,P,PU,122024
