loan_id,reporting_period,delinquency_status,current_upb,update_date
139442750,112025,,206958.02,2025-04-01
139449389,62025,,249000.0,2025-04-01
139445257,102025,,276629.0,2025-04-01
139444741,102025,,245781.25,2025-04-01
139463909,102025,,240030.85,2025-04-01
139446865,102025,,98410.02,2025-04-01
139450502,32026,,126937.66,2025-04-01
139466241,82025,,206816.88,2025-04-01
139435982,32025,,423000.0,2025-04-01
139462074,62025,,227000.0,2025-04-01
139468330,12026,,356143.23,2025-04-01
139456988,32025,,529000.0,2025-04-01
139451544,22025,,290000.0,2025-04-01
139450050,42025,,374000.0,2025-04-01
139442657,72025,,219149.81,2025-04-01
139464679,122025,,166323.71,2025-04-01
139441181,42025,,419000.0,2025-04-01
139454589,72025,,1126000.0,2025-04-01
139444810,102025,,248297.65,2025-04-01
139451534,102025,,223133.39,2025-04-01
139456763,12026,,423260.92,2025-04-01
139449023,12025,,224000.0,2025-04-01
139447580,32025,,236000.0,2025-04-01
139440793,92025,,145738.88,2025-04-01
139466970,62025,,217000.0,2025-04-01
139443813,92025,,275951.0,2025-04-01
139435761,92025,,741742.5,2025-04-01
139446504,12025,,240000.0,2025-04-01
139464935,112025,,432447.36,2025-04-01
139453280,32025,,120000.0,2025-04-01
139441130,122025,,380765.4,2025-04-01
139453537,12026,,311594.02,2025-04-01
139451261,32026,,889415.37,2025-04-01
139441087,122025,,29748.9,2025-04-01
139447968,42025,,349000.0,2025-04-01
139465346,12026,,259554.13,2025-04-01
139466316,102025,,300093.06,2025-04-01
139445011,92025,,386741.15,2025-04-01
139466612,32025,,919000.0,2025-04-01
139453844,12026,,212803.1,2025-04-01
139459135,102025,,141657.44,2025-04-01
139438512,92025,,240506.76,2025-04-01
139452633,12025,,195000.0,2025-04-01
139457392,82025,,675337.01,2025-04-01
139456504,82025,,539057.28,2025-04-01
139448440,72025,,245000.0,2025-04-01
139445853,22025,,550000.0,2025-04-01
139457705,72025,,196000.0,2025-04-01
139441486,62025,,357000.0,2025-04-01
139444800,82025,,447105.63,2025-04-01
139453525,52025,,106000.0,2025-04-01
139451676,72025,,220000.0,2025-04-01
139450432,62025,,842000.0,2025-04-01
139463162,122025,,737472.87,2025-04-01
139442414,22026,,28635.45,2025-04-01
139451558,52025,,277000.0,2025-04-01
139453656,22025,,246000.0,2025-04-01
139468830,62025,,165000.0,2025-04-01
139467658,12025,,158000.0,2025-04-01
139451145,52025,,1000.0,2025-04-01
139464795,22025,,297000.0,2025-04-01
139461781,42025,,283000.0,2025-04-01
139455254,52025,,610000.0,2025-04-01
139443001,12025,,432000.0,2025-04-01
139445064,92025,,272278.94,2025-04-01
