loan_id,credit_score,ltv,dti,prob_base,anomaly_score,active_learning_priority
139458706,644.0,5,33,0.040729980758472846,1.0,0.9460649903792364
139442902,729.0,60,16,0.12032863400527691,0.9146963446626762,0.9432124893339766
139438055,682.0,64,25,0.18816385522145126,0.8786938713407332,0.9195650080596409
139469034,746.0,80,38,0.12178010696059699,0.8405375658757743,0.9068588364181857
139436871,751.0,80,39,0.15013604044418893,0.813805605400703,0.9061347824782571
139438677,749.0,10,24,0.31972189726491845,0.9810583144523353,0.9049682085937084
139468893,814.0,14,13,0.061730305060229494,0.8927319396749575,0.9029311223675935
139437973,802.0,41,28,0.054189729695339,0.896338673139531,0.900964201417435
139465015,726.0,67,45,0.2528001563956009,0.8960410458909072,0.8959204447476532
139449694,722.0,25,42,0.07422512390648207,0.8657145850762646,0.8956698544913734
139452187,684.0,25,13,0.14706971681943917,0.784557919559191,0.8915138181893151
139464214,695.0,72,37,0.11551424502873078,0.8078193369531705,0.8873667909909506
139445960,781.0,15,40,0.11069758075254647,0.8113864733790869,0.8867420270658166
139451122,754.0,39,16,0.09392189069519807,0.8236926311548387,0.8845072609250184
139452268,771.0,44,22,0.23004532003994346,0.8478135751648386,0.8831841275624476
139469235,695.0,25,43,0.0485252951532087,0.8658387073388825,0.8828820012460455
139462402,803.0,75,37,0.08010467287292974,0.8190578116220162,0.875281242247473
139436423,764.0,60,30,0.050057230119352876,0.8487474258905484,0.8751023280049506
139436975,821.0,18,11,0.2372707050702272,0.8380883652395855,0.8747088300846791
139459494,626.0,15,41,0.09039072267369397,0.7908092802895709,0.8663000014816324
139465017,664.0,38,32,0.05841075863743995,0.8187153988032748,0.8642630787203573
139456835,632.0,27,32,0.009076775643303168,0.8676317073140785,0.8640542414786908
139457261,721.0,30,23,0.05329107086736435,0.8219263808911,0.8633087258792322
139461430,806.0,13,19,0.1663533510126471,0.7433270112171345,0.8627868301022437
139468898,809.0,50,46,0.1641620618123349,0.7408570479432998,0.8626474930654824
139435721,828.0,59,21,0.05269488107415455,0.8170547995200125,0.8605748402970834
139441231,770.0,39,37,0.10323463323595528,0.7652545380331703,0.8599445856345628
139469674,786.0,90,45,0.11310534026821911,0.7553462810092431,0.8599258106387311
139450016,743.0,32,50,0.039440801635454256,0.8289479146050305,0.8598943581202423
139461096,757.0,54,33,0.023967809868787698,0.8440020069999873,0.8596849084343875
139443378,690.0,60,41,0.1849541331036836,0.754919152467441,0.8592825096818787
139446584,784.0,94,42,0.15430648182883008,0.7183487197305092,0.8563211189508395
139447142,631.0,19,36,0.1554747819835672,0.719194125148363,0.8561596715823979
139438393,590.0,45,43,0.10802275582479298,0.7522832268992057,0.8558529913619993
139437129,753.0,60,49,0.22834112666198333,0.7888279433625263,0.8545434083502714
139462739,789.0,50,42,0.18710490806654825,0.7467416360119801,0.8541183639727159
139439710,783.0,86,30,0.05888011405485996,0.7946132917922394,0.8524467029235496
139468100,722.0,42,47,0.22889131296172432,0.7842301902690277,0.8519694386536517
139456054,769.0,75,18,0.1321434654479569,0.7175550941385256,0.8505492797932412
139468128,792.0,74,37,0.1900326675488069,0.7418999492834458,0.8502336408673195
139449505,753.0,75,48,0.16480038462085092,0.7158171680932706,0.8498083917362098
139453061,814.0,53,20,0.17865094143805968,0.7285644385651896,0.8492567485635649
139461526,803.0,27,41,0.15793693572021578,0.706252992521026,0.8484580284004051
139452283,806.0,72,40,0.14302384030835166,0.7023796348920885,0.8484017376002201
139456373,787.0,65,32,0.12956746318058976,0.7145868703172628,0.8477771667489262
139447858,799.0,75,35,0.22513449695942653,0.7708111956343262,0.8471383493374498
139436220,720.0,49,48,0.21179258954745764,0.7573000169186623,0.8470537136856023
139464957,786.0,27,39,0.08279301934622234,0.7583087593366654,0.8462508893414439
139438045,699.0,36,36,0.07493146793633895,0.7654103716952179,0.8458709198157783
139456229,714.0,23,35,0.11192271346931852,0.725098869555537,0.8442107915124277
